Book|Chapter|Chinese|Pinyin|Part of Speech|English|Example_Chinese|Example_Pinyin|Example_English
置身事内|第一章|多头管理|duōtóu guǎnlǐ|noun phrase|management by multiple authorities|一个项目由五个部门审批，暴露了多头管理的弊端。|Yíge xiàngmù yóu wǔge bùmén shěnpī, bàolù le duōtóu guǎnlǐ de bìduān.|A project requiring approval from five departments exposes the drawbacks of management by multiple authorities.
置身事内|第一章|层层加码|céngcéng jiāmǎ|verb phrase|each administrative level adds requirements|环保目标从省传到村时被层层加码，最终超出实际能力。|Huánbǎo mùbiāo cóngshěng chuándào cūnshí bèi céngcéng jiāmǎ, zuìzhōng chāochū shíjì nénglì.|As environmental targets passed from the province to villages, each level added requirements until they exceeded actual capacity.
置身事内|第一章|层层传导|céngcéng chuándǎo|verb phrase|transmit through each hierarchical level|中央的稳增长信号通过会议和考核层层传导到县级。|Zhōngyāng de wěn zēngzhǎng xìnhào tōngguò huìyì hé kǎohé céngcéng chuándǎo dào xiànjí.|The center's pro-growth signal was transmitted level by level to counties through meetings and assessments.
置身事内|第一章|上传下达|shàngchuán xiàdá|idiom|relay information upward and orders downward|办公室不应只忙于上传下达，还要收集基层反馈。|Bàngōngshì bùyīng zhǐ mángyú shàngchuán xiàdá, háiyào shōují jīcéng fǎnkuì.|An administrative office should not merely relay information upward and orders downward; it should also collect grassroots feedback.
置身事内|第一章|条块分割|tiáokuài fēngē|noun phrase|fragmentation between vertical and territorial bureaucracies|跨流域治理常被部门与地区之间的条块分割所阻碍。|Kuà liúyù zhìlǐ cháng bèi bùmén yǔ dìqū zhījiān de tiáokuài fēngē suǒ zǔ'ài.|River-basin governance is often hindered by fragmentation between vertical agencies and territorial governments.
置身事内|第一章|尾大不掉|wěidà búdiào|idiom|subordinate becomes too powerful to control|地方融资平台规模过大，可能形成尾大不掉的风险。|Dìfāng róngzī píngtái guīmó guòdà, kěnéng xíngchéng wěidà búdiào de fēngxiǎn.|An excessively large local financing platform may become too powerful to control.
置身事内|第一章|鞭长莫及|biāncháng mòjí|idiom|beyond one's effective reach|中央难以掌握每个村庄的具体情况，监管有时鞭长莫及。|Zhōngyāng nányǐ zhǎngwò měige cūnzhuāng de jùtǐqíngkuàng, jiānguǎn yǒushí biāncháng mòjí.|The center cannot know the circumstances of every village, so its oversight sometimes cannot reach far enough.
置身事内|第一章|一盘棋|yì pán qí|noun phrase|coordinated whole; unified strategy|都市圈交通规划需要树立一盘棋意识，避免重复建设。|Dūshì quān jiāotōng guīhuà xūyào shùlì yì pán qí yìshí, bìmiǎn chóngfù jiànshè.|Metropolitan transport planning requires a coordinated overall perspective to avoid redundant construction.
置身事内|第一章|牵一发而动全身|qiān yì fà ér dòng quán shēn|idiom|a small change affects the whole system|调整土地出让制度会影响财政、房价和银行，往往牵一发而动全身。|Tiáozhěng tǔdìchūràng zhìdù huì yǐngxiǎng cáizhèng, fángjià hé yínháng, wǎngwǎng qiān yì fà ér dòng quán shēn.|Changing the land-transfer system affects public finance, housing prices, and banks, so one small move often affects the whole system.
置身事内|第一章|此消彼长|cǐxiāo bǐzhǎng|idiom|as one side declines, another rises|在预算总额固定时，基建与民生支出往往此消彼长。|Zài yùsuàn zǒng'é gùdìng shí, jījiàn yǔ mínshēng zhīchū wǎngwǎng cǐxiāo bǐzhǎng.|When the total budget is fixed, infrastructure and livelihood spending often move in opposite directions.
置身事内|第一章|因噎废食|yīnyē fèishí|idiom|abandon something useful because of a possible problem|不能因为个别项目失败就停止所有改革试点，那是因噎废食。|Bùnéng yīnwèi gèbié xiàngmù shībài jiù tíngzhǐ suǒyǒu gǎigé shìdiǎn, nà shì yīnyē fèishí.|All reform pilots should not be halted because a few projects failed; that would mean abandoning something useful out of fear of risk.
置身事内|第一章|过犹不及|guò yóu bùjí|idiom|too much is as bad as too little|地方竞争能够带来活力，但补贴竞赛若走向极端便过犹不及。|Dìfāng jìngzhēng nénggòu dàilái huólì, dàn bǔtiē jìngsài ruò zǒuxiàng jíduān biàn guò yóu bùjí.|Local competition can create vitality, but an extreme subsidy race becomes a case of too much being as bad as too little.
置身事内|第一章|明确权责边界|míngquè quánzé biānjiè|verb phrase|clearly define the boundaries of authority and responsibility|推进跨部门改革的第一步，是明确权责边界。|Tuījìn kuàbùmén gǎigé de dìyībù, shì míngquè quánzé biānjiè.|The first step in advancing cross-departmental reform is to clearly define the boundaries of authority and responsibility.
置身事内|第一章|调动资源|diàodòng zīyuán|verb phrase|mobilize resources|省政府可以在重大灾害中跨地区调动资源。|Shěngzhèngfǔ kěyǐ zài zhòngdà zāihài zhōng kuàdìqū diàodòng zīyuán.|A provincial government can mobilize resources across localities during a major disaster.
置身事内|第一章|形成约束|xíngchéng yuēshù|verb phrase|create or impose constraints|预算公开只有与审计问责结合，才能对支出形成约束。|Yùsuàn gōngkāi zhǐyǒu yǔ shěnjì wènzé jiéhé, cáinéng duì zhīchū xíngchéng yuēshù.|Budget transparency constrains spending only when combined with audit-based accountability.
置身事内|第一章|产生激励|chǎnshēng jīlì|verb phrase|create incentives|让地方分享改革收益，能够对主动创新产生激励。|Ràng dìfāng fēnxiǎng gǎigé shōuyì, nénggòu duì zhǔdòng chuàngxīn chǎnshēng jīlì.|Allowing localities to share reform gains creates incentives for proactive innovation.
置身事内|第一章|发挥主动性 / 积极性|fāhuī zhǔdòngxìng / jījíxìng|verb phrase|exercise initiative or enthusiasm|合理授权有助于基层干部发挥主动性和积极性。|Hélǐ shòuquán yǒuzhùyú jīcénggànbù fāhuī zhǔdòngxìng hé jījíxìng.|Reasonable delegation helps grassroots officials exercise initiative and enthusiasm.
置身事内|第一章|深度参与|shēndù cānyù|verb phrase|participate deeply; be deeply involved|地方政府深度参与工业化进程，既提供土地也协调融资。|Dìfāng zhèngfǔ shēndù cānyù gōngyèhuà jìnchéng, jì tígōng tǔdì yě xiétiáo róngzī.|Local governments participate deeply in industrialization by providing land and coordinating financing.
置身事内|第一章|承担责任|chéngdān zérèn|verb phrase|assume or bear responsibility|拥有决策权限的部门也必须承担责任。|Yōngyǒu juécè quánxiàn de bùmén yě bìxū chéngdān zérèn.|A department with decision-making authority must also assume responsibility.
置身事内|第一章|产生重大影响|chǎnshēng zhòngdà yǐngxiǎng|verb phrase|have a major impact|分税制改革对地方政府的收入结构产生重大影响。|Fēnshuìzhì gǎigé duì dìfāng zhèngfǔ de shōurù jiégòu chǎnshēng zhòngdà yǐngxiǎng.|Tax-sharing reform had a major impact on the revenue structure of local governments.
置身事内|第一章|结合具体情况|jiéhé jùtǐ qíngkuàng|verb phrase|in light of specific circumstances|中央政策落地时，地方应结合具体情况制定实施细则。|Zhōngyāng zhèngcè luòdì shí, dìfāng yīng jiéhé jùtǐ qíngkuàng zhìdìng shíshīxìzé.|When implementing central policy, localities should formulate detailed rules in light of their specific circumstances.
置身事内|第一章|依托现实提炼理论|yītuō xiànshí tíliàn lǐlùn|verb phrase|derive or distill theory from reality|研究中国政府，既要观察实践，也要依托现实提炼理论。|Yánjiū Zhōngguó zhèngfǔ, jì yào guānchá shíjiàn, yě yào yītuō xiànshí tíliàn lǐlùn.|Studying Chinese government requires observing practice and deriving theory from reality.
置身事内|第一章|就……而言|jiù... ér yán|expr.|as far as ... is concerned|就公共服务而言，基层政府比上级部门更了解居民需求。|Jiù gōnggòngfúwù éryán, jīcéng zhèngfǔ bǐ shàngjíbùmén gèng liǎojiě jūmín xūqiú.|As far as public services are concerned, grassroots governments understand residents' needs better than higher-level departments do.
置身事内|第一章|从……来看|cóng... lái kàn|expr.|viewed from ...|从财政激励来看，税收留成会影响地方招商行为。|Cóng cáizhèng jīlì láikàn, shuìshōu liúchéng huì yǐngxiǎng dìfāng zhāoshāng xíngwéi.|Viewed from the perspective of fiscal incentives, local tax retention affects investment-promotion behavior.
置身事内|第一章|归根结底|guīgēn jiédǐ|idiom|ultimately; fundamentally|地方债务问题归根结底涉及收入、支出与发展目标的矛盾。|Dìfāng zhàiwù wèntí guīgēn jiédǐ shèjí shōurù, zhīchū yǔ fāzhǎn mùbiāo de máodùn.|Ultimately, the local-debt problem involves tensions among revenue, expenditure, and development goals.
置身事内|第一章|从根本上|cóng gēnběn shàng|adv. phrase|fundamentally|保护产权能够从根本上改善企业的长期预期。|Bǎohù chǎnquán nénggòu cóng gēnběn shàng gǎishàn qǐyè de chángqī yùqī.|Protecting property rights can fundamentally improve firms' long-term expectations.
置身事内|第一章|在很大程度上|zài hěn dà chéngdù shàng|adv. phrase|to a large extent|地方政府的投资能力在很大程度上取决于财政状况。|Dìfāng zhèngfǔ de tóuzī nénglì zài hěn dà chéngdù shàng qǔjuéyú cáizhèngzhuàngkuàng.|Local governments' investment capacity depends to a large extent on their fiscal condition.
置身事内|第一章|与此同时|yǔcǐ tóngshí|adv.|meanwhile; at the same time|城市扩大基础设施投资，与此同时也应关注债务风险。|Chéngshì kuòdà jīchǔshèshī tóuzī, yǔcǐ tóngshí yě yīng guānzhù zhàiwù fēngxiǎn.|As a city expands infrastructure investment, it should meanwhile pay attention to debt risks.
置身事内|第一章|反过来看|fǎnguòlái kàn|expr.|viewed conversely|土地价格会影响财政收入；反过来看，财政政策也会影响土地市场。|Tǔdìjiàgé huì yǐngxiǎng cáizhèngshōurù; fǎnguòlái kàn, cáizhèngzhèngcè yě huì yǐngxiǎng tǔdì shìchǎng.|Land prices affect fiscal revenue; conversely, fiscal policy also affects the land market.
置身事内|第一章|换句话说|huàn jù huà shuō|expr.|in other words|地方获得的收益越多，发展产业的动力越强；换句话说，财政激励改变行为。|Dìfāng huòdé de shōuyì yuè duō, fāzhǎn chǎnyè de dònglì yuèqiáng; huàn jù huà shuō, cáizhèng jīlì gǎibiàn xíngwéi.|The more benefits a locality retains, the stronger its motivation to develop industry; in other words, fiscal incentives change behavior.
置身事内|第一章|具体来说|jùtǐ lái shuō|expr.|specifically|政府可以降低交易成本；具体来说，它能统一标准并提供信息平台。|Zhèngfǔ kěyǐ jiàngdī jiāoyìchéngběn; jùtǐ lái shuō, tā néng tǒngyībiāozhǔn bìng tígōng xìnxī píngtái.|Government can reduce transaction costs; specifically, it can unify standards and provide information platforms.
置身事内|第一章|总的来说|zǒng de lái shuō|expr.|overall|总的来说，中央重统一，地方重信息与执行。|Zǒng de lái shuō, zhōngyāng zhòng tǒngyī, dìfāng zhòng xìnxī yǔ zhíxíng.|Overall, the center emphasizes uniformity while localities emphasize information and implementation.
置身事内|第一章|一方面……另一方面……|yì fāngmiàn... lìng yì fāngmiàn...|conj.|on the one hand ... on the other ...|一方面，分权提高了地方积极性；另一方面，它也可能加剧地区竞争。|Yìfāngmiàn, fēnquán tígāo le dìfāng jījíxìng; lìngyìfāngmiàn, tā yě kěnéng jiājù dìqū jìngzhēng.|On the one hand, decentralization increases local motivation; on the other hand, it may intensify regional competition.
置身事内|第一章|不仅……也……|bùjǐn... yě...|conj.|not only ... but also ...|基础设施不仅降低运输成本，也能扩大市场范围。|Jīchǔshèshī bùjǐn jiàngdī yùnshūchéngběn, yě néng kuòdà shìchǎng fànwéi.|Infrastructure not only lowers transportation costs but also expands market reach.
置身事内|第一章|无论……还是……|wúlùn... háishì...|conj.|whether ... or ...|无论中央还是地方，都要为使用公共资金接受监督。|Wúlùn zhōngyāng háishì dìfāng, dōu yào wèi shǐyòng gōnggòng zījīn jiēshòu jiāndū.|Whether at the central or local level, governments must accept oversight for their use of public funds.
置身事内|第一章|既……又……|jì... yòu...|conj.|both ... and ...|土地既是生产要素，又是地方融资的重要工具。|Tǔdì jì shì shēngchǎn yàosù, yòu shì dìfāng róngzī de zhòngyào gōngjù.|Land is both a factor of production and an important financing tool for local governments.
置身事内|第一章|与其……不如……|yǔqí... bùrú...|conj.|rather than ... it is better to ...|与其竞相提供短期补贴，不如共同改善区域营商环境。|Yǔqí jìngxiāng tígōng duǎnqī bǔtiē, bùrú gòngtóng gǎishàn qūyù yíngshāng huánjìng.|Rather than compete in offering short-term subsidies, localities would do better to improve the regional business environment together.
置身事内|第一章|之所以……是因为……|zhī suǒyǐ... shì yīnwèi...|conj.|the reason ... is because ...|地方之所以重视招商引资，是因为新增企业能带来就业和税收。|Dìfāng zhīsuǒyǐ zhòngshì zhāoshāngyǐnzī, shìyīnwèi xīnzēng qǐyè néng dàilái jiùyè hé shuìshōu.|The reason localities value investment promotion is that new firms can bring employment and tax revenue.
置身事内|第一章|由此可见|yóucǐ kějiàn|expr.|from this we can see that ...|同一政策在各地结果不同，由此可见地方条件不可忽视。|Tóngyī zhèngcè zài gèdì jiéguǒ bùtóng, yóucǐ kějiàn dìfāng tiáojiàn bùkě hūshì.|The same policy produced different results across regions; from this we can see that local conditions cannot be ignored.
置身事内|第一章|不难看出|bù nán kànchū|expr.|it is not difficult to see that ...|比较各地财政数据，不难看出土地收入下降带来的压力。|Bǐjiào gèdì cáizhèng shùjù, bù nán kànchū tǔdì shōurù xiàjiàng dàilái de yālì.|By comparing local fiscal data, it is not difficult to see the pressure caused by declining land revenue.
置身事内|第一章|值得注意的是|zhíde zhùyì de shì|expr.|it is worth noting that ...|值得注意的是，考核指标本身也会改变被考核者的行为。|Zhíde zhùyì de shì, kǎohé zhǐbiāo běnshēn yě huì gǎibiàn bèi kǎohé zhě de xíngwéi.|It is worth noting that assessment indicators themselves change the behavior of those being assessed.
置身事内|第一章|不可忽视的是|bùkě hūshì de shì|expr.|what cannot be ignored is ...|不可忽视的是，权力下放后监督责任也要同步调整。|Bùkě hūshì de shì, quánlìxiàfàng hòu jiāndū zérèn yě yào tóngbù tiáozhěng.|What cannot be ignored is that oversight responsibilities must be adjusted when power is devolved.
置身事内|第一章|博弈|bóyì|n./v.|strategic interaction; game|中央、地方与企业围绕税收和土地展开持续博弈。|Zhōngyāng, dìfāng yǔ qǐyè wéirào shuìshōu hé tǔdì zhǎnkāi chíxù bóyì.|The central government, local governments, and firms engage in continual strategic interaction over taxes and land.
置身事内|第一章|寻租|xúnzū|v./n.|rent-seeking|审批环节过多会给权力寻租留下空间。|Shěnpī huánjié guòduōhuì gěi quánlì xúnzū liúxià kōngjiān.|Excessive approval procedures create room for rent-seeking through official power.
置身事内|第一章|问责|wènzé|v./n.|accountability; hold accountable|没有公开透明的信息，社会问责就难以发挥作用。|Méiyǒu gōngkāi tòumíng de xìnxī, shèhuì wènzé jiù nányǐ fāhuīzuòyòng.|Without open and transparent information, public accountability cannot function effectively.
置身事内|第一章|治理|zhìlǐ|n./v.|governance|流域治理需要突破单一行政区的边界。|Liúyù zhìlǐ xūyào tūpò dānyī xíngzhèngqū de biānjiè.|River-basin governance must cross the boundaries of individual administrative areas.
置身事内|第一章|裁量权|cáiliàngquán|n.|discretionary authority|基层需要一定裁量权来处理政策未预见的情况。|Jīcéng xūyào yídìng cáiliàngquán lái chǔlǐ zhèngcè wèi yùjiàn de qíngkuàng.|Grassroots officials need some discretion to handle circumstances not anticipated by policy.
置身事内|第一章|行政壁垒|xíngzhèng bìlěi|n.|administrative barriers|取消行政壁垒有助于商品和服务跨地区流动。|Qǔxiāo xíngzhèng bìlěi yǒuzhùyú shāngpǐn hé fúwù kuàdìqū liúdòng.|Removing administrative barriers helps goods and services move across regions.
置身事内|第一章|政策导向|zhèngcè dǎoxiàng|n.|policy orientation|考核从速度转向质量，显示出政策导向已经变化。|Kǎohé cóng sùdù zhuǎnxiàng zhìliàng, xiǎnshì chū zhèngcè dǎoxiàng yǐjīng biànhuà.|The shift in assessment from speed to quality shows that policy orientation has changed.
置身事内|第一章|制度安排|zhìdù ānpái|n.|institutional arrangement|收入分享是一项影响地方激励的重要制度安排。|Shōurù fēnxiǎng shì yíxiàng yǐngxiǎng dìfāng jīlì de zhòngyào zhìdù ānpái.|Revenue sharing is an important institutional arrangement affecting local incentives.
置身事内|第一章|路径依赖|lùjìng yīlài|n.|path dependence|长期依赖土地财政后，城市发展容易形成路径依赖。|Chángqī yīlài tǔdì cáizhèng hòu, chéngshì fāzhǎn róngyì xíngchéng lùjìng yīlài.|After long dependence on land finance, urban development can become path-dependent.
置身事内|第一章|利益格局|lìyì géjú|n.|configuration of interests|改革会重新分配收益，因此必然触动原有利益格局。|Gǎigé huì chóngxīnfēnpèi shōuyì, yīncǐ bìrán chùdòng yuányǒu lìyì géjú.|Reform redistributes benefits and therefore inevitably alters the existing configuration of interests.
置身事内|第一章|治理能力|zhìlǐ nénglì|n.|governance capacity|突发事件检验地方政府的组织与治理能力。|Tūfāshìjiàn jiǎnyàn dìfāng zhèngfǔ de zǔzhī yǔ zhìlǐ nénglì.|Emergencies test local governments' organizational strength and governance capacity.
置身事内|第一章|执行力度|zhíxíng lìdù|n.|strength of implementation or enforcement|同一环保标准在各地的执行力度并不相同。|Tóngyī huánbǎo biāozhǔn zài gèdì de zhíxíng lìdù bìngbùxiāngtóng.|The same environmental standard is enforced with different levels of intensity across localities.
置身事内|第一章|政策工具|zhèngcè gōngjù|n.|policy instrument or tool|税收减免、贷款担保和政府采购都是常见的政策工具。|Shuìshōu jiǎnmiǎn, dàikuǎn dānbǎo hé zhèngfǔ cǎigòu dōu shì chángjiàn de zhèngcè gōngjù.|Tax reductions, loan guarantees, and government procurement are common policy instruments.
置身事内|第一章|配套措施|pèitào cuòshī|n.|supporting measures|放宽市场准入后，还需出台监管和服务方面的配套措施。|Fàngkuān shìchǎngzhǔnrù hòu, hái xū chūtái jiānguǎn hé fúwù fāngmiàn de pèitào cuòshī.|After market entry is liberalized, supporting measures for regulation and services are still needed.
置身事内|第一章|试点|shìdiǎn|n./v.|pilot program; pilot implementation|新政策先在条件不同的几个县开展试点。|Xīn zhèngcè xiān zài tiáojiàn bùtóng de jǐge xiàn kāizhǎn shìdiǎn.|The new policy was first piloted in several counties with different conditions.
置身事内|第一章|推广|tuīguǎng|v.|scale up; promote widely|试点经过评估证明有效后，才适合向全国推广。|Shìdiǎn jīngguò pínggū zhèngmíng yǒuxiào hòu, cái shìhé xiàng quánguó tuīguǎng.|Only after evaluation shows a pilot to be effective is it suitable for nationwide expansion.
置身事内|第一章|因果机制|yīnguǒ jīzhì|n.|causal mechanism|研究不能只描述相关性，还要解释政策起作用的因果机制。|Yánjiū bùnéng zhǐ miáoshù xiāngguānxìng, háiyào jiěshì zhèngcè qǐ zuòyòng de yīnguǒ jīzhì.|Research must not merely describe correlation; it must explain the causal mechanism through which policy works.
置身事内|第一章|内在逻辑|nèizài luójí|n.|underlying logic|理解财政收入与官员激励，才能把握地方投资的内在逻辑。|Lǐjiě cáizhèngshōurù yǔ guānyuán jīlì, cáinéng bǎwò dìfāng tóuzī de nèizài luójí.|Only by understanding fiscal revenue and official incentives can one grasp the underlying logic of local investment.
置身事内|第一章|制度约束|zhìdù yuēshù|n.|institutional constraint|个人意愿再强，也必须在预算和法律的制度约束下行动。|Gèrén yìyuàn zàiqiáng, yě bìxū zài yùsuàn hé fǎlǜ de zhìdù yuēshù xià xíngdòng.|No matter how strong personal intentions are, action must remain within institutional constraints imposed by budgets and law.
置身事内|第一章|政策空间|zhèngcè kōngjiān|n.|policy space|债务负担上升会压缩地方应对经济下行的政策空间。|Zhàiwù fùdān shàngshēng huì yāsuō dìfāng yìngduì jīngjì xiàxíng de zhèngcè kōngjiān.|A rising debt burden narrows local governments' policy space for responding to an economic downturn.
